epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,89.4562,1.14419,2.09017,1.08294,1.243,0.77299,0.69795,0.74484,0.48376,0.7445,0.66569,0.69981,0.36878,1.19098,2.92835,1.19238,1.23307,0.0018725,0.0018725,0.0018725
51,91.2753,1.14986,2.17389,1.07609,1.24825,0.73606,0.72784,0.78998,0.51728,0.72806,0.69501,0.74316,0.39725,1.13707,2.64705,1.10332,1.17934,0.00186737,0.00186737,0.00186737
52,93.0649,0.93995,1.61117,0.94377,1.12425,0.79242,0.76125,0.81915,0.53361,0.79403,0.72434,0.78486,0.45214,1.14439,2.50912,1.07236,1.18782,0.00186213,0.00186213,0.00186213
53,94.8385,0.98072,1.78979,0.9309,1.12728,0.78041,0.77126,0.82608,0.54433,0.77364,0.76172,0.80366,0.46058,1.11694,2.60429,1.03406,1.17838,0.00185681,0.00185681,0.00185681
54,96.6693,1.095,1.98175,1.00192,1.20118,0.77995,0.76833,0.8048,0.52899,0.75539,0.75367,0.76195,0.41392,1.11401,2.8897,1.04309,1.19326,0.00185139,0.00185139,0.00185139
55,98.3662,1.08375,2.10639,1.07412,1.19449,0.78948,0.67155,0.74952,0.48292,0.71732,0.6129,0.65297,0.32988,1.14848,3.35318,1.199,1.21218,0.00184588,0.00184588,0.00184588
56,100.094,1.05044,1.99775,1.08906,1.18609,0.78386,0.70674,0.77317,0.4986,0.70254,0.61584,0.62854,0.29502,1.16132,3.52224,1.13473,1.20423,0.00184028,0.00184028,0.00184028
57,101.838,0.96866,1.7774,0.97398,1.14031,0.76833,0.76246,0.79282,0.54785,0.74348,0.74797,0.75643,0.41589,1.02521,2.68003,1.09069,1.15587,0.00183459,0.00183459,0.00183459
58,103.588,0.9734,1.7142,0.91303,1.11517,0.75597,0.72141,0.79043,0.53878,0.72106,0.7654,0.77951,0.44556,1.03086,2.60468,1.09685,1.17099,0.00182881,0.00182881,0.00182881
59,105.321,1.01502,1.89798,0.9966,1.1851,0.77092,0.73314,0.79277,0.54054,0.76133,0.73021,0.77596,0.46407,1.07799,2.51674,1.0799,1.20006,0.00182294,0.00182294,0.00182294
60,107.071,0.96635,1.74542,0.91748,1.12263,0.77477,0.73314,0.79645,0.53885,0.74149,0.72727,0.7613,0.44773,1.06609,2.4842,1.09301,1.18069,0.00181698,0.00181698,0.00181698
61,108.794,0.99907,1.8882,0.95163,1.16546,0.7684,0.7566,0.80952,0.54249,0.73588,0.73536,0.75935,0.45884,1.07726,2.39976,1.07876,1.18362,0.00181093,0.00181093,0.00181093
62,110.608,1.01764,1.94552,0.97459,1.1518,0.80408,0.74194,0.81652,0.55679,0.78659,0.72727,0.79474,0.48525,1.05198,2.38074,1.06402,1.15749,0.00180479,0.00180479,0.00180479
63,112.396,0.96408,1.76522,0.94775,1.13049,0.74602,0.79249,0.83159,0.57402,0.73349,0.77126,0.80807,0.46278,1.05172,2.40075,1.03248,1.13435,0.00179856,0.00179856,0.00179856
64,114.102,0.98532,1.81068,0.9787,1.15345,0.84233,0.70674,0.82721,0.56974,0.84036,0.69795,0.7978,0.45841,1.00877,2.47146,1.02045,1.1387,0.00179225,0.00179225,0.00179225
65,115.793,0.98854,1.77357,0.95418,1.15467,0.80021,0.71261,0.80364,0.5414,0.80242,0.71458,0.78712,0.45966,1.04617,2.48282,1.0924,1.1873,0.00178586,0.00178586,0.00178586
66,117.5,0.95857,1.72857,0.91107,1.15005,0.81989,0.67742,0.77937,0.52603,0.83103,0.64902,0.75091,0.44546,1.12467,2.51956,1.11873,1.22619,0.00177937,0.00177937,0.00177937
67,119.235,0.97905,1.70003,0.92806,1.15361,0.83183,0.68622,0.77556,0.52923,0.83193,0.68225,0.76779,0.45412,1.08813,2.42522,1.12628,1.18819,0.00177281,0.00177281,0.00177281
68,120.958,1.03406,1.90876,0.97485,1.19855,0.76667,0.64223,0.72254,0.49313,0.76971,0.6305,0.70921,0.40932,1.11049,2.42902,1.27209,1.21526,0.00176616,0.00176616,0.00176616
69,122.723,1.0365,1.86661,0.98489,1.19982,0.76214,0.73292,0.79424,0.56032,0.74036,0.71079,0.77176,0.45789,1.04477,2.31572,1.07783,1.15226,0.00175943,0.00175943,0.00175943
70,124.47,1.01529,1.83105,0.95164,1.15058,0.82339,0.73831,0.83766,0.58856,0.82327,0.73607,0.82783,0.51255,0.99894,2.2917,0.96298,1.1289,0.00175261,0.00175261,0.00175261
71,126.27,0.999,1.8744,0.97875,1.16464,0.8593,0.73314,0.83976,0.57137,0.85293,0.72727,0.82341,0.5171,1.04846,2.30733,0.96023,1.15466,0.00174571,0.00174571,0.00174571
72,128.084,0.9589,1.69739,0.89813,1.11989,0.87502,0.68622,0.80632,0.53869,0.8632,0.70317,0.79697,0.48627,1.0872,2.60627,1.05265,1.20759,0.00173874,0.00173874,0.00173874
73,129.795,1.0056,1.86373,0.91975,1.18055,0.78832,0.74194,0.79424,0.53262,0.79144,0.74487,0.78283,0.46286,1.08557,2.57635,1.09451,1.22827,0.00173168,0.00173168,0.00173168
74,131.489,0.91047,1.55979,0.86323,1.14095,0.83543,0.70674,0.79898,0.53393,0.80794,0.70968,0.76987,0.46474,1.09557,2.49442,1.06506,1.21255,0.00172454,0.00172454,0.00172454
75,133.184,0.99355,1.74757,0.92699,1.16196,0.78231,0.74824,0.79272,0.51,0.75386,0.72434,0.75523,0.45602,1.1558,2.47238,1.13173,1.24615,0.00171733,0.00171733,0.00171733
76,134.868,0.95536,1.76908,0.89106,1.14718,0.7976,0.7654,0.79714,0.52691,0.79536,0.7566,0.79394,0.4737,1.10497,2.41602,1.07838,1.20366,0.00171004,0.00171004,0.00171004
77,136.635,1.0986,2.09787,0.96377,1.18337,0.80188,0.739,0.8054,0.53538,0.81628,0.75073,0.80105,0.47135,1.08603,2.4587,1.02646,1.19284,0.00170267,0.00170267,0.00170267
78,138.347,1.0007,1.81002,0.93591,1.13671,0.84377,0.67155,0.80463,0.53204,0.82916,0.66569,0.78348,0.44706,1.11798,2.62084,1.05733,1.194,0.00169522,0.00169522,0.00169522
79,140.086,0.98015,1.79804,0.88482,1.13017,0.86584,0.70027,0.82115,0.54603,0.80138,0.72174,0.78726,0.44814,1.09678,2.58839,1.02418,1.17411,0.0016877,0.0016877,0.0016877
80,141.8,0.97579,1.83472,0.93253,1.14115,0.83954,0.73647,0.8306,0.56047,0.81967,0.71554,0.80469,0.47639,1.04303,2.39244,0.97408,1.15738,0.00168011,0.00168011,0.00168011
81,143.494,0.9305,1.71894,0.96472,1.12917,0.77947,0.76704,0.82743,0.55762,0.77947,0.76704,0.81855,0.51688,1.02498,2.19588,0.99132,1.14761,0.00167244,0.00167244,0.00167244
82,145.2,0.97097,1.81547,0.91506,1.12178,0.84473,0.7658,0.86094,0.58262,0.85404,0.78932,0.85872,0.54822,1.04638,2.16523,0.92348,1.13878,0.0016647,0.0016647,0.0016647
83,146.972,0.90329,1.67364,0.87359,1.08823,0.81204,0.7654,0.84943,0.56687,0.83033,0.76246,0.84582,0.52588,1.06503,2.20624,0.94523,1.14765,0.00165689,0.00165689,0.00165689
84,148.737,0.96951,1.71778,0.83235,1.10577,0.8081,0.7286,0.82112,0.53835,0.80358,0.739,0.81177,0.49568,1.10741,2.31344,1.05553,1.1881,0.001649,0.001649,0.001649
85,150.444,0.90005,1.57254,0.84393,1.0974,0.74686,0.75367,0.81425,0.54653,0.72532,0.77126,0.802,0.48168,1.08499,2.35761,1.04766,1.18398,0.00164105,0.00164105,0.00164105
86,152.168,0.89581,1.59027,0.84563,1.11256,0.82228,0.68328,0.79515,0.54809,0.80811,0.68328,0.7855,0.47492,1.07103,2.35154,1.05758,1.1909,0.00163303,0.00163303,0.00163303
87,153.936,0.93942,1.64428,0.85794,1.10659,0.83882,0.68678,0.80236,0.55077,0.85275,0.69632,0.80878,0.50097,1.09381,2.21723,1.03583,1.19405,0.00162494,0.00162494,0.00162494
88,155.654,0.93306,1.58938,0.83516,1.13344,0.78943,0.74194,0.82267,0.56373,0.7821,0.7654,0.8206,0.50286,1.07641,2.18457,0.99647,1.16082,0.00161678,0.00161678,0.00161678
89,157.395,0.91759,1.55566,0.82934,1.09966,0.80617,0.73021,0.82621,0.57339,0.81085,0.71658,0.80329,0.49717,1.03577,2.23509,0.97417,1.13793,0.00160855,0.00160855,0.00160855
90,159.166,0.906,1.67058,0.83678,1.10234,0.85448,0.70968,0.8458,0.57745,0.84441,0.7003,0.84182,0.51635,1.01005,2.35779,1.05962,1.15596,0.00160026,0.00160026,0.00160026
91,160.915,0.90532,1.55142,0.84664,1.09608,0.86299,0.72037,0.86379,0.59938,0.80841,0.75483,0.85425,0.53918,0.98947,2.17654,1.01123,1.14493,0.00159191,0.00159191,0.00159191
92,162.694,0.94129,1.61703,0.87508,1.12886,0.77205,0.78299,0.84576,0.58652,0.79011,0.77713,0.83883,0.52435,1.01728,2.1965,0.98741,1.15754,0.00158349,0.00158349,0.00158349
